2020.07.08 10:01:00 INFO  web[][DbMigrations] #3110 'Remove 'sonar.branch.longLivedBranches.regex'': success | time=4ms
2020.07.08 10:01:00 INFO  web[][DbMigrations] #3111 'Rename 'sonar.dbcleaner.daysBeforeDeletingInactiveShortLivingBranches' setting'...
2020.07.08 10:01:00 INFO  web[][DbMigrations] #3111 'Rename 'sonar.dbcleaner.daysBeforeDeletingInactiveShortLivingBranches' setting': success | time=15ms
2020.07.08 10:01:00 INFO  web[][DbMigrations] #3112 'Migrate short and long living branches types to common BRANCH type'...
2020.07.08 10:01:00 INFO  web[][DbMigrations] #3112 'Migrate short and long living branches types to common BRANCH type': success | time=5ms
2020.07.08 10:01:00 INFO  web[][DbMigrations] #3113 'Migrate short and long living branches types to common BRANCH type in ce tasks table'...
2020.07.08 10:01:00 INFO  web[][DbMigrations] #3113 'Migrate short and long living branches types to common BRANCH type in ce tasks table': success | time=5ms
2020.07.08 10:01:00 INFO  web[][DbMigrations] #3200 'Drop 'In Review' Security Hotspots status '...
2020.07.08 10:01:00 INFO  web[][o.s.s.p.d.m.s.MassUpdate] 0 rows processed (0 items/sec)
2020.07.08 10:01:00 INFO  web[][DbMigrations] #3200 'Drop 'In Review' Security Hotspots status ': success | time=9ms
2020.07.08 10:01:00 INFO  web[][DbMigrations] #3201 'Migrate Manual Vulnerabilities to Security Hotspots '...
2020.07.08 10:01:00 INFO  web[][o.s.s.p.d.m.s.MassUpdate] 0 rows processed (0 items/sec)
2020.07.08 10:01:00 INFO  web[][DbMigrations] #3201 'Migrate Manual Vulnerabilities to Security Hotspots ': success | time=10ms
2020.07.08 10:01:00 INFO  web[][DbMigrations] #3202 'Remove 'newsbox.dismiss.hotspots' user property'...
2020.07.08 10:01:00 INFO  web[][DbMigrations] #3202 'Remove 'newsbox.dismiss.hotspots' user property': success | time=6ms
2020.07.08 10:01:00 INFO  web[][DbMigrations] #3203 'Ensure Security Hotspots have status TO_REVIEW'...
