2020.07.09 13:09:35 INFO  ce[AXM0jcIrdQmaLwM5H_Vx][o.s.c.t.s.ComputationStepExecutor] Detect file moves | reportFiles=4 | dbFiles=4 | addedFiles=0 | status=SUCCESS | time=0ms
2020.07.09 13:09:35 INFO  ce[AXM0jcIrdQmaLwM5H_Vx][o.s.c.t.s.ComputationStepExecutor] Load duplications | duplications=4 | status=SUCCESS | time=0ms
2020.07.09 13:09:35 INFO  ce[AXM0jcIrdQmaLwM5H_Vx][o.s.c.t.s.ComputationStepExecutor] Compute cross project duplications | status=SUCCESS | time=0ms
2020.07.09 13:09:35 INFO  ce[AXM0jcIrdQmaLwM5H_Vx][o.s.c.t.s.ComputationStepExecutor] Compute size measures | status=SUCCESS | time=0ms
2020.07.09 13:09:35 INFO  ce[AXM0jcIrdQmaLwM5H_Vx][o.s.c.t.s.ComputationStepExecutor] Compute new coverage | status=SUCCESS | time=0ms
2020.07.09 13:09:35 INFO  ce[AXM0jcIrdQmaLwM5H_Vx][o.s.c.t.s.ComputationStepExecutor] Compute coverage measures | status=SUCCESS | time=0ms
2020.07.09 13:09:35 INFO  ce[AXM0jcIrdQmaLwM5H_Vx][o.s.c.t.s.ComputationStepExecutor] Compute comment measures | status=SUCCESS | time=0ms
2020.07.09 13:09:35 INFO  ce[AXM0jcIrdQmaLwM5H_Vx][o.s.c.t.s.ComputationStepExecutor] Copy custom measures | status=SUCCESS | time=0ms
2020.07.09 13:09:35 INFO  ce[AXM0jcIrdQmaLwM5H_Vx][o.s.c.t.s.ComputationStepExecutor] Compute duplication measures | status=SUCCESS | time=0ms
2020.07.09 13:09:35 INFO  ce[AXM0jcIrdQmaLwM5H_Vx][o.s.c.t.s.ComputationStepExecutor] Compute size measures on new code | status=SUCCESS | time=0ms
2020.07.09 13:09:35 INFO  ce[AXM0jcIrdQmaLwM5H_Vx][o.s.c.t.s.ComputationStepExecutor] Compute language distribution | status=SUCCESS | time=0ms
2020.07.09 13:09:35 INFO  ce[AXM0jcIrdQmaLwM5H_Vx][o.s.c.t.s.ComputationStepExecutor] Compute test measures | status=SUCCESS | time=0ms
2020.07.09 13:09:35 INFO  ce[AXM0jcIrdQmaLwM5H_Vx][o.s.c.t.s.ComputationStepExecutor] Compute complexity measures | status=SUCCESS | time=0ms
2020.07.09 13:09:35 INFO  ce[AXM0jcIrdQmaLwM5H_Vx][o.s.c.t.s.ComputationStepExecutor] Load measure computers | status=SUCCESS | time=0ms
2020.07.09 13:09:35 INFO  ce[AXM0jcIrdQmaLwM5H_Vx][o.s.c.t.s.ComputationStepExecutor] Compute Quality Profile status | status=SUCCESS | time=0ms
2020.07.09 13:09:35 INFO  ce[AXM0jcIrdQmaLwM5H_Vx][o.s.c.t.s.ComputationStepExecutor] Execute component visitors | status=SUCCESS | time=0ms
2020.07.09 13:09:35 INFO  ce[AXM0jcIrdQmaLwM5H_Vx][o.s.c.t.s.ComputationStepExecutor] Checks executed after computation of measures | status=SUCCESS | time=0ms
2020.07.09 13:09:35 INFO  ce[AXM0jcIrdQmaLwM5H_Vx][o.s.c.t.s.ComputationStepExecutor] Compute Quality Gate measures | status=SUCCESS | time=0ms
2020.07.09 13:09:35 INFO  ce[AXM0jcIrdQmaLwM5H_Vx][o.s.c.t.s.ComputationStepExecutor] Compute Quality profile measures | status=SUCCESS | time=0ms
